Test Feature A,Test Feature B,R-Value,P-Value
PTS,TOI/GP,[0.88228186],[9.82793875e-76]
PTS,TOI%,[0.87388199],[1.43346088e-72]
PTS,iBLK,[0.57768124],[1.27549024e-21]
PTS,iFOW,[0.76106041],[3.06899845e-44]
PTS,iFOL,[0.79656966],[3.6607819e-51]
PTS,FO%,[0.26941407],[3.89898388e-05]
PTS,OTG,[0.52181449],[2.90435384e-17]
PTS,GWG,[0.76776939],[1.88109374e-45]
PTS,G.Bkhd,[0.55104202],[1.92883523e-19]
PTS,G.Snap,[0.7074955],[8.16012914e-36]
PTS,G.Tip,[0.56679008],[1.04865565e-20]
PTS,G.Wrap,[0.22996711],[0.00047794]
PTS,G.Wrst,[0.86904207],[7.55269799e-71]
PTS,Post,[0.68508829],[7.81183024e-33]
PTS,Over,[0.72961066],[4.77327116e-39]
PTS,Wide,[0.84603714],[1.64204017e-63]
PTS,S.Bkhd,[0.73413514],[9.49910101e-40]
PTS,S.Dflct,[0.50298256],[5.73919247e-16]
PTS,S.Slap,[0.65175113],[7.27661739e-29]
PTS,S.Tip,[0.69212403],[9.68504785e-34]
PTS,S.Wrap,[0.38922473],[1.24651559e-09]
PTS,S.Wrst,[0.86930695],[6.10473749e-71]
+/-,Ht,[0.02387834],[0.72047023]
+/-,Wt,[0.08474545],[0.20334611]
+/-,GP,[-5.7267129e-05],[0.99931537]
+/-,G,[0.18592409],[0.00494751]
+/-,A,[0.21850379],[0.0009189]
+/-,A1,[0.2396226],[0.00026862]
+/-,A2,[0.16665544],[0.01191147]
+/-,PTS,[0.21543604],[0.00108856]
+/-,+/-,[1.],[0.]
+/-,Shifts,[0.04230069],[0.52601949]
+/-,TOI,[0.04987837],[0.4545711]
+/-,TOIX,[0.05149255],[0.44008549]
+/-,TOI/GP,[0.09484085],[0.15436934]
+/-,TOI%,[0.09773602],[0.14211733]
+/-,iBLK,[0.07962124],[0.2321243]
+/-,iFOW,[0.08254183],[0.21538882]
+/-,iFOL,[0.11383746],[0.08703205]
+/-,FO%,[-0.02418034],[0.71708503]
+/-,OTG,[-0.02403801],[0.71867972]
+/-,GWG,[0.24319577],[0.00021573]
+/-,G.Bkhd,[0.07144474],[0.2837817]
+/-,G.Snap,[0.0793462],[0.23374632]
+/-,G.Tip,[0.14539574],[0.02850772]
+/-,G.Wrap,[0.02011375],[0.7631069]
+/-,G.Wrst,[0.20876741],[0.00156084]
+/-,Post,[0.02212655],[0.74021244]
+/-,Over,[0.03146053],[0.63728124]
+/-,Wide,[0.04899469],[0.46261295]
+/-,S.Bkhd,[0.05983114],[0.36956812]
+/-,S.Dflct,[0.08141382],[0.22174715]
+/-,S.Slap,[0.00314734],[0.96238733]
+/-,S.Tip,[0.1128318],[0.0898764]
+/-,S.Wrap,[-0.0331846],[0.61893784]
+/-,S.Wrst,[0.09025701],[0.17537358]
Shifts,Ht,[0.2499852],[0.00014094]
Shifts,Wt,[0.20805608],[0.00162097]
Shifts,GP,[0.96313777],[1.17395165e-130]
Shifts,G,[0.80182866],[2.63427911e-52]
Shifts,A,[0.82161186],[6.19163583e-57]
Shifts,A1,[0.79614296],[4.51676745e-51]
Shifts,A2,[0.76916188],[1.04133644e-45]
Shifts,PTS,[0.85127845],[4.50865026e-65]
Shifts,+/-,[0.04230069],[0.52601949]
Shifts,Shifts,[1.],[0.]
Shifts,TOI,[0.99197864],[8.73443944e-205]
Shifts,TOIX,[0.99205926],[2.80200471e-205]
Shifts,TOI/GP,[0.83539394],[1.63510847e-60]
Shifts,TOI%,[0.81233912],[1.07105461e-54]
Shifts,iBLK,[0.79881022],[1.20448447e-51]
Shifts,iFOW,[0.79492469],[8.20674078e-51]
Shifts,iFOL,[0.81734778],[6.86710287e-56]
Shifts,FO%,[0.35904895],[2.58688939e-08]
Shifts,OTG,[0.36779903],[1.10837671e-08]
Shifts,GWG,[0.63372168],[6.41728143e-27]
Shifts,G.Bkhd,[0.52941656],[8.25608021e-18]
Shifts,G.Snap,[0.56767578],[8.86107383e-21]
Shifts,G.Tip,[0.53121456],[6.10311459e-18]
Shifts,G.Wrap,[0.22663635],[0.00057986]
Shifts,G.Wrst,[0.75839601],[9.06818192e-44]
Shifts,Post,[0.61961328],[1.7467983e-25]
Shifts,Over,[0.6796353],[3.78435484e-32]
Shifts,Wide,[0.85114431],[4.95168451e-65]
Shifts,S.Bkhd,[0.82308436],[2.65733134e-57]
Shifts,S.Dflct,[0.49571065],[1.7306066e-15]
Shifts,S.Slap,[0.54456683],[6.11205561e-19]
