Test Feature A,Test Feature B,R-Value,P-Value
PTS,Wide,[0.87174208],[8.79723332e-86]
PTS,S.Bkhd,[0.63182718],[9.69786274e-32]
PTS,S.Dflct,[0.36955648],[3.13907606e-10]
PTS,S.Slap,[0.81314349],[1.67889811e-65]
PTS,S.Snap,[0.65402814],[1.29823548e-34]
PTS,S.Tip,[0.47082233],[2.03214632e-16]
PTS,S.Wrap,[0.18243805],[0.00252374]
PTS,S.Wrst,[0.82765633],[8.58900772e-70]
PIM,Ht,[0.14905546],[0.01386334]
PIM,Wt,[0.30563352],[2.72653593e-07]
PIM,GP,[0.60607465],[1.0964544e-28]
PIM,G,[0.35405436],[1.86918223e-09]
PIM,A,[0.35518359],[1.64666343e-09]
PIM,A1,[0.32383004],[4.6383873e-08]
PIM,A2,[0.35388481],[1.9050137e-09]
PIM,PTS,[0.37069842],[2.74200522e-10]
PIM,PIM,[1.],[0.]
PIM,Shifts,[0.57589174],[1.91457824e-25]
PIM,TOI,[0.55285383],[3.46703052e-23]
PIM,TOI/GP,[0.37652571],[1.36379706e-10]
PIM,iBLK,[0.49858289],[1.65559453e-18]
PIM,iFOW,[0.1345434],[0.02649556]
PIM,iFOL,[0.14341828],[0.01794639]
PIM,FO%,[0.18158141],[0.0026466]
PIM,OTG,[0.10007059],[0.09956561]
PIM,GWG,[0.25088523],[2.83852092e-05]
PIM,G.Bkhd,[0.22757475],[0.00015311]
PIM,G.Slap,[0.22936404],[0.00013533]
PIM,G.Snap,[0.22355619],[0.00020133]
PIM,G.Tip,[0.1681881],[0.00541961]
PIM,G.Wrap,[0.12073111],[0.04666873]
PIM,G.Wrst,[0.3109974],[1.63752786e-07]
PIM,Post,[0.3149724],[1.11491642e-07]
PIM,Over,[0.38148678],[7.44256773e-11]
PIM,Wide,[0.45209738],[4.10755338e-15]
PIM,S.Bkhd,[0.27588155],[3.85045087e-06]
PIM,S.Dflct,[0.07976537],[0.18966574]
PIM,S.Slap,[0.41032309],[1.78852297e-12]
PIM,S.Snap,[0.293322],[8.45937939e-07]
PIM,S.Tip,[0.23879167],[6.94866011e-05]
PIM,S.Wrap,[0.24488039],[4.45268626e-05]
PIM,S.Wrst,[0.45315186],[3.48469992e-15]
Shifts,Ht,[0.00018533],[0.9975725]
Shifts,Wt,[0.09009475],[0.13832181]
Shifts,GP,[0.97700698],[1.01887534e-183]
Shifts,G,[0.66897775],[1.09168099e-36]
Shifts,A,[0.78194298],[1.97906831e-57]
Shifts,A1,[0.72977563],[1.52368847e-46]
Shifts,A2,[0.76118434],[9.1783246e-53]
Shifts,PTS,[0.78509492],[3.49126194e-58]
Shifts,PIM,[0.57589174],[1.91457824e-25]
Shifts,Shifts,[1.],[nan]
Shifts,TOI,[0.99096504],[2.84271767e-238]
Shifts,TOI/GP,[0.79848235],[1.5667481e-61]
Shifts,iBLK,[0.90318891],[2.33948192e-101]
Shifts,iFOW,[0.14802569],[0.01454181]
Shifts,iFOL,[0.18705525],[0.00194641]
Shifts,FO%,[0.1788043],[0.00308322]
Shifts,OTG,[0.31642801],[9.67152115e-08]
Shifts,GWG,[0.53259957],[2.42872073e-21]
Shifts,G.Bkhd,[0.21055198],[0.00047239]
Shifts,G.Slap,[0.50065496],[1.13573613e-18]
Shifts,G.Snap,[0.37841104],[1.08471528e-10]
Shifts,G.Tip,[0.30430217],[3.08950665e-07]
Shifts,G.Wrap,[0.09042327],[0.13688388]
Shifts,G.Wrst,[0.58049502],[6.44569778e-26]
Shifts,Post,[0.54743566],[1.11156055e-22]
Shifts,Over,[0.63800425],[1.62507736e-32]
Shifts,Wide,[0.83162352],[4.9031883e-71]
Shifts,S.Bkhd,[0.55767424],[1.20777895e-23]
Shifts,S.Dflct,[0.30059314],[4.36198894e-07]
Shifts,S.Slap,[0.75818394],[3.96147964e-52]
Shifts,S.Snap,[0.61467955],[1.12461942e-29]
Shifts,S.Tip,[0.42301222],[3.08342429e-13]
Shifts,S.Wrap,[0.19519344],[0.00121349]
Shifts,S.Wrst,[0.79316763],[3.57897255e-60]
TOI,Ht,[-0.00681819],[0.91087708]
TOI,Wt,[0.07897402],[0.19411027]
TOI,GP,[0.96235115],[3.87888394e-155]
TOI,G,[0.71259945],[1.68605277e-43]
TOI,A,[0.82051764],[1.23934225e-67]
TOI,A1,[0.76863302],[2.21179114e-54]
TOI,A2,[0.79608463],[6.50129847e-61]
TOI,PTS,[0.82681322],[1.56351987e-69]
TOI,PIM,[0.55285383],[3.46703052e-23]
TOI,Shifts,[0.99096504],[2.84271767e-238]
TOI,TOI,[1.],[0.]
TOI,TOI/GP,[0.83534179],[3.12724453e-72]
TOI,iBLK,[0.89638481],[1.43212248e-97]
TOI,iFOW,[0.15066821],[0.01285657]
TOI,iFOL,[0.17262618],[0.00429735]
TOI,FO%,[0.17663471],[0.00346868]
TOI,OTG,[0.33029294],[2.40234872e-08]
TOI,GWG,[0.55818299],[1.0794874e-23]
TOI,G.Bkhd,[0.2232531],[0.00020549]
TOI,G.Slap,[0.539887],[5.44163654e-22]
TOI,G.Snap,[0.40722642],[2.71627781e-12]
TOI,G.Tip,[0.31489015],[1.12388395e-07]
TOI,G.Wrap,[0.10041882],[0.09838714]
TOI,G.Wrst,[0.61240673],[2.06623053e-29]
TOI,Post,[0.58836631],[9.62120644e-27]
TOI,Over,[0.66313465],[7.3022651e-36]
TOI,Wide,[0.85842399],[2.18498258e-80]
TOI,S.Bkhd,[0.59125732],[4.72213658e-27]
TOI,S.Dflct,[0.34138074],[7.4945105e-09]
TOI,S.Slap,[0.79259111],[4.99749087e-60]
TOI,S.Snap,[0.62227832],[1.41905269e-30]
TOI,S.Tip,[0.44198146],[1.93334966e-14]
TOI,S.Wrap,[0.22684677],[0.00016096]
TOI,S.Wrst,[0.81871767],[4.19277386e-67]
TOI/GP,Ht,[0.01081923],[0.85902192]
TOI/GP,Wt,[0.03304336],[0.58740119]
TOI/GP,GP,[0.70353054],[5.56338189e-42]
TOI/GP,G,[0.67728536],[6.78764712e-38]
TOI/GP,A,[0.75139785],[1.00136965e-50]
TOI/GP,A1,[0.70886408],[7.23417247e-43]
TOI/GP,A2,[0.72427121],[1.52581317e-45]
TOI/GP,PTS,[0.76402822],[2.24947538e-53]
TOI/GP,PIM,[0.37652571],[1.36379706e-10]
TOI/GP,Shifts,[0.79848235],[1.5667481e-61]
TOI/GP,TOI,[0.83534179],[3.12724453e-72]
TOI/GP,TOI/GP,[1.],[nan]
TOI/GP,iBLK,[0.73412398],[2.37045591e-47]
TOI/GP,iFOW,[0.14930183],[0.0137052]
TOI/GP,iFOL,[0.10513467],[0.08349401]
TOI/GP,FO%,[0.15238804],[0.01185438]
TOI/GP,OTG,[0.35104106],[2.61507242e-09]
TOI/GP,GWG,[0.5389424],[6.61955692e-22]
TOI/GP,G.Bkhd,[0.1799598],[0.00289418]
TOI/GP,G.Slap,[0.52838483],[5.67526288e-21]
TOI/GP,G.Snap,[0.40438706],[3.96949163e-12]
TOI/GP,G.Tip,[0.26629654],[8.48312148e-06]
TOI/GP,G.Wrap,[0.09451266],[0.11993057]
TOI/GP,G.Wrst,[0.57326521],[3.53605666e-25]
TOI/GP,Post,[0.54258757],[3.09705144e-22]
TOI/GP,Over,[0.59129303],[4.68059892e-27]
TOI/GP,Wide,[0.75055098],[1.48752124e-50]
TOI/GP,S.Bkhd,[0.54120097],[4.13910554e-22]
TOI/GP,S.Dflct,[0.3770361],[1.28201848e-10]
TOI/GP,S.Slap,[0.72010843],[8.39883321e-45]
TOI/GP,S.Snap,[0.51663685],[5.68443019e-20]
TOI/GP,S.Tip,[0.38285585],[6.28568379e-11]
TOI/GP,S.Wrap,[0.21022871],[0.0004822]
TOI/GP,S.Wrst,[0.71960125],[1.03168188e-44]
iBLK,Ht,[0.00339604],[0.95553984]
iBLK,Wt,[0.09949554],[0.10153619]
iBLK,GP,[0.87808484],[1.4392156e-88]
iBLK,G,[0.57483302],[2.45336553e-25]
iBLK,A,[0.65902734],[2.70764601e-35]
iBLK,A1,[0.61286491],[1.82850627e-29]
iBLK,A2,[0.64398645],[2.76995266e-33]
iBLK,PTS,[0.66484188],[4.20952452e-36]
iBLK,PIM,[0.49858289],[1.65559453e-18]
iBLK,Shifts,[0.90318891],[2.33948192e-101]
iBLK,TOI,[0.89638481],[1.43212248e-97]
iBLK,TOI/GP,[0.73412398],[2.37045591e-47]
iBLK,iBLK,[1.],[nan]
iBLK,iFOW,[0.15746141],[0.00928777]
iBLK,iFOL,[0.14599847],[0.01596297]
iBLK,FO%,[0.18764349],[0.00188224]
iBLK,OTG,[0.26619758],[8.55124844e-06]
iBLK,GWG,[0.51136939],[1.55212155e-19]
iBLK,G.Bkhd,[0.16448882],[0.00654901]
iBLK,G.Slap,[0.43014077],[1.11135314e-13]
iBLK,G.Snap,[0.26932237],[6.63240537e-06]
iBLK,G.Tip,[0.28011158],[2.69118125e-06]
iBLK,G.Wrap,[0.0396969],[0.51443784]
iBLK,G.Wrst,[0.52149229],[2.21719552e-20]
iBLK,Post,[0.45987947],[1.20410542e-15]
iBLK,Over,[0.56749637],[1.33478304e-24]
iBLK,Wide,[0.7357509],[1.17054973e-47]
iBLK,S.Bkhd,[0.47689076],[7.36834147e-17]
iBLK,S.Dflct,[0.29532951],[7.05844236e-07]
iBLK,S.Slap,[0.65862659],[3.07357598e-35]
iBLK,S.Snap,[0.50579036],[4.41359766e-19]
iBLK,S.Tip,[0.36502348],[5.34180265e-10]
iBLK,S.Wrap,[0.14757384],[0.01484859]
iBLK,S.Wrst,[0.68975713],[8.79480826e-40]
iFOW,Ht,[-0.00646698],[0.91545032]
iFOW,Wt,[0.00124356],[0.98371238]
iFOW,GP,[0.13286149],[0.02846038]
iFOW,G,[0.06940838],[0.25394241]
iFOW,A,[0.04451243],[0.46471611]
iFOW,A1,[0.04536948],[0.45615419]
iFOW,A2,[0.03942244],[0.51735232]
iFOW,PTS,[0.05326222],[0.38157168]
iFOW,PIM,[0.1345434],[0.02649556]
iFOW,Shifts,[0.14802569],[0.01454181]
iFOW,TOI,[0.15066821],[0.01285657]
iFOW,TOI/GP,[0.14930183],[0.0137052]
iFOW,iBLK,[0.15746141],[0.00928777]
iFOW,iFOW,[1.],[0.]
iFOW,iFOL,[0.03960717],[0.51538974]
iFOW,FO%,[0.92332458],[1.84074311e-114]
iFOW,OTG,[-0.04225563],[0.48768107]
iFOW,GWG,[0.03497676],[0.56571522]
iFOW,G.Bkhd,[0.01763744],[0.77214674]
iFOW,G.Slap,[0.02911619],[0.63258729]
iFOW,G.Snap,[0.04900953],[0.42078973]
iFOW,G.Tip,[0.13179444],[0.02977058]
iFOW,G.Wrap,[0.06943191],[0.2537811]
iFOW,G.Wrst,[0.05634724],[0.35456843]
iFOW,Post,[0.12188512],[0.04459528]
iFOW,Over,[0.0411785],[0.4988528]
iFOW,Wide,[0.10808714],[0.07513297]
iFOW,S.Bkhd,[0.04767394],[0.43357571]
iFOW,S.Dflct,[-0.00491245],[0.93572363]
iFOW,S.Slap,[0.10856943],[0.0738341]
iFOW,S.Snap,[0.04440876],[0.46575773]
iFOW,S.Tip,[-0.00166644],[0.97817485]
iFOW,S.Wrap,[0.13845481],[0.02237163]
iFOW,S.Wrst,[0.15118511],[0.0125478]
iFOL,Ht,[0.08351035],[0.16964086]
iFOL,Wt,[0.10607103],[0.08076484]
iFOL,GP,[0.18976088],[0.00166694]
iFOL,G,[0.12411038],[0.04081496]
iFOL,A,[0.11472974],[0.05879393]
iFOL,A1,[0.09749806],[0.10862193]
iFOL,A2,[0.12302425],[0.04262495]
iFOL,PTS,[0.12313784],[0.04243255]
iFOL,PIM,[0.14341828],[0.01794639]
iFOL,Shifts,[0.18705525],[0.00194641]
iFOL,TOI,[0.17262618],[0.00429735]
iFOL,TOI/GP,[0.10513467],[0.08349401]
iFOL,iBLK,[0.14599847],[0.01596297]
iFOL,iFOW,[0.03960717],[0.51538974]
iFOL,iFOL,[1.],[nan]
iFOL,FO%,[-0.01694797],[0.78082283]
iFOL,OTG,[0.02653414],[0.66307222]
iFOL,GWG,[0.05389104],[0.37596814]
iFOL,G.Bkhd,[-0.03081437],[0.61286679]
iFOL,G.Slap,[0.09110849],[0.13392158]
iFOL,G.Snap,[0.036476],[0.54916674]
iFOL,G.Tip,[0.14939826],[0.01364373]
iFOL,G.Wrap,[0.06299631],[0.3005695]
iFOL,G.Wrst,[0.12755524],[0.03549711]
iFOL,Post,[0.06473425],[0.28740493]
iFOL,Over,[0.10690111],[0.07840611]
iFOL,Wide,[0.12807806],[0.03474382]
iFOL,S.Bkhd,[0.03672566],[0.54643414]
iFOL,S.Dflct,[0.05721694],[0.34717829]
iFOL,S.Slap,[0.11203137],[0.06503762]
iFOL,S.Snap,[0.12106836],[0.04605461]
iFOL,S.Tip,[0.10907349],[0.0724962]
iFOL,S.Wrap,[0.09075083],[0.1354616]
iFOL,S.Wrst,[0.12151897],[0.04524463]
FO%,Ht,[0.00036255],[0.99525122]
FO%,Wt,[0.01392336],[0.81919204]
FO%,GP,[0.16398627],[0.00671768]
FO%,G,[0.08365941],[0.16887778]
FO%,A,[0.06306726],[0.30002438]
FO%,A1,[0.06788468],[0.26454077]
FO%,A2,[0.05236787],[0.38962856]
FO%,PTS,[0.07143675],[0.24029508]
FO%,PIM,[0.18158141],[0.0026466]
FO%,Shifts,[0.1788043],[0.00308322]
FO%,TOI,[0.17663471],[0.00346868]
FO%,TOI/GP,[0.15238804],[0.01185438]
FO%,iBLK,[0.18764349],[0.00188224]
FO%,iFOW,[0.92332458],[1.84074311e-114]
FO%,iFOL,[-0.01694797],[0.78082283]
FO%,FO%,[1.],[0.]
FO%,OTG,[-0.03660899],[0.54771024]
FO%,GWG,[0.04884526],[0.42235033]
FO%,G.Bkhd,[0.04358436],[0.4740869]
FO%,G.Slap,[0.05492654],[0.36685138]
FO%,G.Snap,[0.0376938],[0.53590186]
FO%,G.Tip,[0.15054432],[0.01293156]
FO%,G.Wrap,[0.10057127],[0.0978747]
FO%,G.Wrst,[0.0555859],[0.36111833]
FO%,Post,[0.15049231],[0.01296316]
FO%,Over,[0.05590453],[0.35836799]
FO%,Wide,[0.12827238],[0.03446732]
FO%,S.Bkhd,[0.10239763],[0.09189933]
FO%,S.Dflct,[-0.01908957],[0.75396685]
FO%,S.Slap,[0.14422069],[0.01730774]
FO%,S.Snap,[0.05984287],[0.32546137]
FO%,S.Tip,[0.01475707],[0.80856854]
FO%,S.Wrap,[0.1498026],[0.01338863]
FO%,S.Wrst,[0.15729896],[0.00936162]
OTG,Ht,[0.07777429],[0.20099268]
OTG,Wt,[-0.00296084],[0.96123268]
OTG,GP,[0.26059385],[1.33813102e-05]
OTG,G,[0.47902694],[5.13078781e-17]
